rus	eng
Количество пара: до 3.500 кг/ч	steam flow rate up to 3.500 kg/h and
Рабочее давление пара: от 30 бар до 90 бар	pressure range from 30 bar up to 95 bar design pressure.
Оснащение и производство происходят в соответствии с техническими правилами Европейского Содружества (PED 97/23/EС) и других приемных организаций во всем мире (z.B. SELO, ГОСТ-Р, RTN, ASME, AS).	Equipped and produced in conformity with the European Community technical rules (PED 97/ 23/ EC), and other world-wide acceptance organisations (e.g. SQLO, GOST-R, RTN, ASME).
Регулирвоание и контроль	Control
Важным элементом безопасности является предохранитель потока, который делает возможным измерение и контроль минимального необходимого объемного потока теплоносителя, и, если он будет занижен, выключает и блокирует установку сжигания.	The flow safety device is a very important element as it measures and monitors the minimum heat carrier flow rate and shuts down and interlocks the firing system if the flow rate drops below the minimum value.
Все обычные газообразные и жидкие горючие, как, напр.,: мазут, среднее масло легкое масло, биологический дизельl, жидкий газ, природный газ, биологический газ	All commercial gaseous or liquid fuels can be fired, e.g. heavy oil, medium oil, high speed diesel, Bio diesel, liquid gas, natural gas, bio gas.
NWK-HP ® может оснащаться горелками для использования легкого масла, мазута, биологического дизеля, природного газа, жидкого газа, биологического газа или комбинированными горелками.	The NWK-HP ® can be equipped with burners for light oil, heavy oil, bio diesel, natural gas, liquid gas, biogas, or with two-component burners.
Выбор горелок производится в зависимости от мощности котла, горючего и требований к регулированию мощности.	The choice of burner depends upon the boiler capacity, the fuel and the demands expected of capacity control.
Постоянный контроль производится для следующих параметров:	A permanent supervision of the following parameters:
давление пара - максимальное давление	Stream Pressure - Maximum
Благодаря этому принципу на каждой точке нагревательной поверхности достигается определенный переход тепла. Принудительная циркуляция и, тем самым, скорость потока гарантируются измерением и контролем объемного потока.	This principle ensures that a defined heat transfer is achieved at any point of the heating surface. Forced circulation, and thus the flowing speed, is ensured by measuring and monitoring the volume flow.
Мощность:	Capacity Range:
Рабочее давление: 30 - 90 бар	Operating pressure: 30 - 90 bar
Добро пожаловать	Welcome
GekaKonus ® является ведушим поставщиком в следующих секторах:	GekaKonus ® is a global supplier in following sectors:
Применяется во всех технологических нагревательных установках, в которых, принимая во внимание саму установку, может быть реализована естественная циркуляция в системе нагрева.	Applicable in all process heating plants in which plant-relatively a natural circulation can be implemented in the heating system. Advantages
Низкая лучевая нагрузка в топке и большая конвективная нагревательная поверхность.	Low radiation load in the combustion chamber and a large convection heating surface.
Подробную техническую информацию к каждому типу котлов вы найдете в нашей области Download на нашей странице. применения/преимущества	You find further technical information on every type of heater in the Download Area of our Internet site. Application/Advantages
Оснащение и производство происходят согласно техническим парвилам Европейского Содружества (PED 97/23/EС), и других организаций приема по всему миру (напр., SELO, ГОСТ-Р, RTN, ASME, AS).	Equipped and produced in conformity with the European Community technical rules (PED 97/ 23/ EC), and other world-wide acceptance organisations (e.g. SELO, GOST-R, RTN, ASME, AS).
Подробную техническую информацию к каждому типу котлов вы найдете в нашей области Download на нашей странице. применения/преимущества	You find further technical information on every type of boiler in the Download Area of our Internet site.
Применение:	Application
Например, при нагревательном процессе, в случае, когда в производственном процессе на различных местах требуется различное паровое давление или различная температура насыщенного пара, а также при нагревательных процессах, в которых частично или полностью теряется конденсат.	This is for example the case for heating processes where it is necessary to operate with different steam pressures at different stages in the production process within the same system e. g. with different saturated steam temperatures, or in processes where the condensate is partial or total loss.
Постоянный контроль	A permanent supervision of the following parameters
давление пара - работа	Steam pressure - Operation
давление пара - максимальное	Steam pressure - maximum
Это необходимо, чтобы пар для нагревательной технологической системы не содержал остаточной влаги и растворенных солей.	Blow down of the quick steam generator is an absolute necessity to keep the access steam to the process heating system mostly free from residual moisture and dissolved salts.
Производство	back to the Production
NUK-HP ® может оснащаться горелками для использования легкого масла, мазута, биологического дизеля, природного газа, жидкого газа, биологического газа или комбинированными горелками.	The NUK-HP ® can be equipped with burners for light oil, heavy oil, bio diesel, natural gas, liquid gas, biogas, or with two-component burners.
Постоянный контроль	Permanent Monitoring
минимальный уровень воды в котле	Water level low
давление пара	Steam pressure
производство	back to the Production
Производство/оснащение	Production/Equipment
Оснащение и производство происходят в соответствии с техническими правилами Европейского Содружества (PED 97/23/EС) и других приемных организаций во всем мире (z.B. SELO, ГОСТ-Р, RTN, ASME, AS).	The production process and the control and safety equipment comply with the rules of the European Community (PED 97/23/EC) and other notified bodies world wide(e. g. SELO, ASME, GOST-R, ROSTECHNADZOR), as far as this has been agreed.
Мощность регулируется в зависимости от давления пара.	The capacity is controlled by pressure.
Мощность горелки повышается или понижается в зависимости от давления пара.	Depend on the steam pressure, the burner capacity will be increased or reduced.
Насос питательной воды и горелка работают вместе, в зависимости от производимого количества пара.	The feed water pump and burner works in conjunction depends on the steam production rate.
Температура дымового газа: до 1200°C	Flue gas temperature up to 1200°C
Расчет мощности и техническое оснащение производятся согласно техническим требованиям клиента.	The capacity range and technical equipment occurred according to the technical requirement of the customer.
Количество пара: до 25 т/ч	Steam output: up to 25 t/h
Рабочее давление пара: до 20 бар	Steam working pressure: up to 20 bar
10a.	10a.
10b.	10b.
12.	12.
16b.	16b.
20.	20.
21.	21.
22.	22.
23.	23.
24.	24.
25.	25.
26.	26.
26a.	26a.
26b.	26b.
27a.	27a.
27b.	27b.
28a.	28a.
28b.	28b.
33.	33.
обратный клапан	Non return valve
74tv.ru	74tv.ru
Fatal error: Class 'Bitrix\Main\Mail\Mail' not found in /home/admin/web/74tv.ru/public_html/bitrix/modules/main/lib/mail/event.php on line 182	Fatal error: Class 'Bitrix\Main\Mail\Mail' not found in /home/admin/web/74tv.ru/public_html/bitrix/modules/main/lib/mail/event.php on line 182
2023597	2023597
10256	10256
130743	130743
593	593
696488	696488
1614	1614
1618	1618
2018516	2018516
5175	5175
130573	130573
423	423
695994	695994
1107	1107
PayPal	PayPal
About us	About us
Paypal	Paypal
Credit card	Credit card
Delivery from the USA	Delivery from the USA
Cost of delivery	Cost of delivery
Delivery from China	Delivery from China
Forwarders	Forwarders
Неделимый товар - товар для личного пользования, весом более 35 килограммов, состоящий из одной единицы или одного комплекта товара, в том числе перемещаемый в разобранном, несобранном, некомплектном или незавершенном виде, при условии, что товар обладает основным свойством собранного, комплектного или завершенного товара.	Indivisible goods - goods for personal use, weighing over 35 kg, consisting of one unit or one set of goods, including, unassembled, disassembled, incomplete or unfinished, provided that such product has the basic features of the finished product.
MyOnlineStore.ru	MyOnlineStore.ru
Товары для личного пользования	Personal Belongings
Товары для личного пользования - товары, отнесенные таможенным органом к данной категории исходя из следующих критериев:	Goods for personal use - goods classified by customs authorities in this category based on the following criteria:
характера и количество товаров;	the nature and quantity of the goods;
частоты пересечения физического лица и (или) перемещения им товаров через таможенную границу;	how often an individual and (or) the goods moved across the customs border;
заявления физического лица о перемещаемых товарах (в определенных случаях, предусмотренных Соглашением);	declaration of an individual related to the goods (if required in accordance with the Agreement);
Ни при каких обстоятельствах не относятся к товарам для личного использования товары, попадающие под исключения.	Under no circumstances the goods falling under the exception can be considered as goods for personal use.
Delivery	Cost of delivery
Понтонные системы и плавучие элементы rent a float с грузоподъемностью до 1,050 кг/м2 для мероприятий на воде, рабочих платформ и мобильных мостов.	Pontoon systems and floating elements from rent a float with a load-bearing capacity of up to 1,050 kg/m2 for floating events, working platforms and mobile bridges.
Кроме того, они совершенно устойчивы к любым природным воздействиям.	Moreover, the JETfloat® pontoon systems are completely weather resistant.
Понтонные плавучие элементы rent a float JETfloat® вполне подлежат утилизации и предлагают, таким образом, экологически чистую альтернативу, которая в течение многих лет применяется многими организациями, защищающими окружающую природную среду, и будет успешно рекомендована в дальнейшем.	rent a float JETfloat® pontoon floating elements are fully recyclable, thus offering an environmentally friendly alternative which has been used by several nature protection organisations for many years and which they are glad to recommend.
Техническое описание плавучих элементов	Technical details of the floating elements
Д х Ш х В = 50 х 50 х 40 см.	L x B x H = 50 x 50 x 40 cm.
Д х Ш х В = 100 х 50 х 40 см.	L x B x H = 100 x 50 x 40 cm
Однослойный: 350 кг/м2	Single pass: 350 kg/m2
Двухслойный: 700 кг/м2	Double pass: 700 kg/m2
Трехслойный: 1.050 кг/м2	Triple pass: 1,050 kg/m2
-60°C / +80°C	-60°C / +80°C
Исходный материал понтона	Pontoon raw materials
Свяжитесь с нами, мы с удовольствием проконсультируем Вас о наших понтонных системах!	Contact us, we are happy to be consulted in all matters relating to our pontoon systems!
Разумеется, мы тесно работаем с пиротехниками и со специалистами по технике безопасности, чтобы обеспечить Вам бесперебойное и, прежде всего, безопасное проведение фейерверка с нашими плавучими понтонами для фейерверка rent a float.	In order to guarantee smooth and above all safe procedures with your fireworks with our floating rent a float fireworks pontoons, we naturally work closely on-site with the pyrotechnicians and security staff.
Благодаря нашему многолетнему опыту, мы вносим свое ноу-хау для успешной организации Вашего фейерверка на воде.	Our many years of experience enable us to contribute our know-how to the success of your floating fireworks.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших фейерверк-понтонах!	Contact us, we are happy to be consulted in detail regarding our fireworks pontoons!
Плавучие понтонные платформы на воде для обширной баннерной рекламы.	Floating pontoon advertising platforms for large-scale banner advertising and advertising campaigns with sustainable effects on the water.
Модульные платформы поставят рекламируемый продукт в центр внимания зрителя и надолго сохранят воспоминания в его памяти.	Modular pontoon advertising platforms move your product advertising into the observer's focus and definitively remain in his memory for a long time.
Крупноформатная баннерная реклама на плавучей понтонной платформе может создать именно этот эффект привлекательности.	Large format banner advertising on a floating pontoon advertising platform can create just this stimulus.
Поставьте Ваш продукт, изолированный от часто мешающего окружения, в центр внимания зрителя.	Place your product or service in the observer's focus, isolated from its frequently distracting surroundings.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших плавучих платформах для баннерной рекламы!	Contact us, we are happy to be consulted in detail regarding our floating banner advertising platforms!
Понтонные острова и платформы для купания rent a float - это надежные плавучие элементы для веселого проведения отдыха в закрытом бассейне, для купания на открытом воздухе и в открытых водоемах.	Pontoon bathing islands and bathing platforms from rent a float are safe, maintenance-free floating elements for lots of fun in the wet element in indoor pools, lidos and open waters.
Понтонные платформы для закрытых бассейнов, купания на открытом воздухе и в озере.	Pontoon bathing platforms for indoor pools, lidos and lakes
Плавучие понтонные острова из понтонных плавучих элементов JETfloat® - это всегда преимущество для любого вида плавания в свободное время.	Floating bathing islands consisting of the JETfloat® pontoon floating elements are always a gain for all kinds of recreational swimming pools.
Они безопасны для передвижения и гарантируют защищенность от падения, не имеют острых краев, деревянных осколков (щепок) и никаких старых ржавых гвоздей, характеризуются износостойкостью и долговечностью эксплуатации.	They are very safe and slip-resistant, have no sharp edges, no splinters of wood and of course no old, rusty nails, can be used for virtually unlimited periods and are absolutely maintenance-free.
Еще один плюс понтонных островов rent a float – это невероятное разнообразие самих платформ для купания.	The unbelievable variability of the bathing platforms is a further advantage of the rent a float pontoon bathing platforms.
Плавучие острова для купания можно без проблем подобрать по размеру и форме и укрепить в середине водоема или вблизи от берега. Платформы, установленные и закрепленные прямо на берегу, одновременно могут выполнять функцию пирса.	You can easily adapt the floating bathing islands' size and shape and anchor them safely in the middle of the water or also close to the banks. If anchored directly at the bank, bathing platforms can additionally function as a floating jetty.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших понтонных островах и платформах для купания!	Contact us, we are happy to be consulted in all matters relating to our pontoon bathing islands and bathing platforms!
Сцены на воде для любого события	Floating stages for all events
Кульминационным объектом какого-либо особого события определенно является плавучая платформа, в качестве сцены на воде.	The highlight of a really special event is definitively a floating event platform as a floating stage.
Визуальное и ощущаемое впечатление не сравнимо ни с чем и остается длительное время в памяти у каждого, принимавшего участие.	The visual and felt impression is unique and remains a lasting positive memory for all concerned.
Мероприятия, организованные на понтонных сценах на воде и плавучих платформах, будут выглядеть как выступление актеров за счет исключительной, особой атмосферы, возникающей благодаря водному окружению.	The element of water with its unique atmosphere offers an exclusive setting for events on floating pontoon show stages and event platforms as well as the presentation of actors.
rent a float, как компания по прокату понтонов, может предложить Вам соответствующую понтонную систему для любого ивент-мероприятия на воде.	rent a float has the corresponding pontoon system for rental in store for you for all conceivable floating events.
Плавучие элементы ивент-понтонов rent a float доставляются быстро и надежно по всей Европе, за короткое время собираются и также быстро демонтируются и отвозятся обратно.	rent a float event pontoon floating elements are delivered promptly and reliably throughout Europe, quickly assembled on location and disassembled and removed again equally quickly.
Трехслойные ивент-понтоны rent a float с грузоподъемностью до 1.050 кг/м2 — прекрасное место для организации Вашего мероприятия на воде.	With their load bearing capacity of up to 1,050 kg/m² for a triple pass version, rent a float event pontoons provide the perfect venue for your floating event.
Выбирая ивент-понтоны JETfloat® от компании rent a float, Вы найдете подходящее решение для любого мероприятия на воде!	JETfloat® event pontoons from rent a float provide the perfect solution for all floating events!
Свяжитесь с нами, мы с удовольствием посоветуем Вам плавучую сцену на воде для Вашего совершенно особого события!	Contact us, we would be happy to assist you with any questions you have related to our floating stages for your very special event!
Плавучие понтонные сцены для музыкальных концертов и мероприятий на воде.	Floating pontoon stage and concert stage for music concerts and moderated events on the water.
Понтонные сцены — это всегда «изюминка» любого представления, происходящего «вживую», как для концерта на открытом воздухе, так и в закрытом бассейне.	Whether floating open air concerts take place on water or in closed swimming facilities, pontoon show stages are the icing on the cake for all live performances.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших понтонных сценах!	Contact us, we are happy to be consulted in detail regarding our pontoon show stages!
Огромным значением для успешного проведения показа мод обладает не только восхищение прекрасными моделями и демонстрируемой ими модой, но также большую роль играет и соответствующая визуальная атмосфера.	Fashion shows not only impress with the lovely models and the fashion they present, a visually appealing atmosphere is also very important for a fashion show's success.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о нашем плавучем подиуме, плавучем помосте для Вашего показа мод!	Contact us, we are happy to be consulted in detail regarding our floating catwalk, floating for your fashion show!
Плавучие понтонные мосты rent a float успешно устанавливаются как для пешеходов, так и для транспортных средств по всей Европе.	Floating pontoon bridges from rent a float are successfully used throughout Europe for both pedestrians and vehicles.
Использование понтонных плавучих элементов (от лат. Ponto: „мост“) началось с постройки мобильного моста, который также называется плавучий мост или понтонный мост.	"The origin of the pontoon floating elements (from the Latin ponto: ""bridge"") is the mobile bridge, also known as the floating bridge or ship's bridge."
Для наводки моста на маленьком или большом водоеме понтонные мосты успешно устанавливаются уже в течение многих десятилетий.	Pontoon bridges have already been used for several decades to bridge small or large waters.
Грузоподъемность, гибкость, разнообразие и безопасность мобильных понтонных мостов rent a float производят всегда сильное впечатление, независимо от цели постройки моста: для пешеходов, транспортных средств или перевозки материала.	Whether for pedestrians, vehicles or materials transport, the load-bearing capacity, flexibility, variability and safety of the modern rent a float pontoon bridges convince time and time again.
Сегодня понтонные мосты используются не только в качестве временных мостов, но и применяются в роли плавучих мостов на долгосрочный период времени, особенно в Норвегии и США. Мост Lacey V. Murrow Memorial Bridge, например, обладает длиной 2019 м и является одним из самых длинных долговременных понтонных мостов мира!	Nowadays, pontoon bridges are not only used as temporary bridges: especially in Norway and the USA, pontoon bridges are also used as long-term floating bridges. For example, the Lacey V. Murrow Memorial Bridge has a length of 2019m and is therefore one of the longest long-term pontoon bridges worldwide!
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших понтонных мостах!	Contact us, we are happy to be consulted in all matters relating to our pontoon bridges!
Еще одним преимуществом наших плавучих видео-платформ JЕТfloat® является то, что они значительно меньше подвержены колебаниям на воде, например, по сравнению с лодками, что, соответственно, предоставляет больше надежности кинооператору, а также команде звукооператоров с помощью оборудования реализовать высококачественную съемку.	The fact that our floating JETfloat® camera platforms sway considerably less than boats, for example, and therefore the camera man and acoustic engineering team with their equipment can be provided with better security and therefore enable higher quality recording, speaks in their favour.
rent a float профессионально реализует Ваши запросы относительно видео-платформы: от фазы планирования до самой реализации — мы всегда готовы Вам помочь!	rent a float realises your camera platform requirements professionally - we are here to help you from the planning phase to implementation.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших видео-платформах из JETfloat® плавучих понтонных элементов.	Contact us, we are happy to be consulted in all matters relating to our floating camera platforms consisting of the JETfloat® pontoon floating elements.
Извлекайте выгоду из нашего ноу-хау и длительного опыта работы с понтонными системами JETfloat®.	Profit from our know-how and many years of experience with the JETfloat® pontoon rent systems!
Монтажные работы на мероприятии	Assembly work at an event
Запатентованная понтонная система JETfloat® официально работает более 30 лет на международном уровне, предлагая модульные плавучие элементы. rent a float - это Ваш компетентный партнер для создания Вашего индивидуального понтонного проекта JETfloat®.	The patented JETfloat® pontoon system with its modular floating elements has been used internationally for more than 30 years. rent a float is your competent partner for your personal JETfloat® pontoon project.
rent a float предлагает Вам:	rent a float can provide you with the following:
Тщательное планирование проекта	Careful project planning
Технические расчеты, выполненные профессионалом	Technical calculations by an expert
Более убедительные факты:	More convincing facts:
Квалифицированный, опытный и ответственный персонал	Trained, experienced and responsible staff
Тесное сотрудничество с производителем JETfloat® International	Close collaboration with the manufacturer JETfloat® International
Обмен опытом за счет применения плавучих элементов JETfloat® на международном уровне	Exchange of experience due to the international use of JETfloat® floating elements
Постоянное повышение квалификации наших сотрудников	Permanent continued training of our employees
rent a float предлагает понтоны JETfloat® для продажи и аренды. По желанию с подробной консультацией, планированием доставки и при аренде, само собой разумеется, включая профессионально выполненный демонтаж.	rent a float offers JETfloat® pontos for purchasing and for rental. If desired, including comprehensive consultancy, planning and delivery and at a rental price which naturally incorporates professional disassembly.
Благодаря богатому опыту работы, компания rent a float с удовольствием всегда готова ответить на все Ваши вопросы относительно плавучей системы JETfloat®.	rent a float's vast experience is available to you at all times for any questions related to the JETfloat® floating systems.
Посетите страничку Выполненные проекты, а также нашу фото-галерею и позвольте себе убедиться в нашем ноу-хау.	Take a look at our references and our picture gallery and convince yourself of our know-how.
Свяжитесь с нами, мы с удовольствием подробно проинформируем Вас в личном разговоре о нашем огромном сервисе!	Contact us, we would be happy to provide you with more detailed information about our comprehensive services in a personal conversation!
Мы заинтересовали Вас?	Have we aroused your interest?
Свяжитесь с нами, мы с удовольствием Вам перезвоним!	Contact us, we would be happy to return your call!
Электронный адрес	Email address
Телефон (с кодом страны)	Phone (incl. country code)
Составлена небольшая фотогалерея понтонных проектов, реализованных компанией rent a float для событий на воде и рабочих платформ по всей Европе. rent a float - это Ваш партнер для маленьких и крупных проектов при помощи плавучих платформ.	A collection of rent a float photos of various projects across Europe. rent a float is your partner for small and large projects on floating platforms.
Плавучие платформы Jetfloat и системы rent a float для любого понтонного проекта.	JETfloat® floating platforms and floating systems from rent a float for all pontoon projects.
Предприятие rent a float - Event Concept Aschauer - с 1997 года является контактным лицом №1 по сдаче в аренду плавучих платформ на основе модульных плавучих элементов - понтонов JETfloat® для организаций и предприятий многих отраслей промышленности по всей Европе.	The company Event Concept Aschauer has been Europe's no. 1 contact partner for event holders and companies for the rental of floating platforms based on the modular JETfloat® pontoon floating elements since 1997.
Сервис по прокату понтонов в компании rent a float стоит на первом месте!	"We write Service with a capital ""S"" at rent a float!"
rent a float предлагает Вам аренду понтонов для следующих понтонных систем:	rent a float can provide you with the following pontoon systems:
Свяжитесь с нами!	Contact us!
Понтонные сооружения (пирсы) для водного спорта	Pontoon floating platforms for water sports
Ничто не может быть проще, чем решить многочисленные вопросы по строительству различных сооружений для водного спорта с помощью плавучих понтонных площадок (платформ) от компании rent a float.	Nothing is closer at hand than solving the many-sided requirements of floating platforms for water sports with the rent a float pontoon floating platforms.
Понтонные плавучие пирсы, характеризующиеся легкостью установки, устойчивостью к природным воздействиям (выветриванию) и долгосрочностью эксплуатации, являются экономной и безопасной альтернативой традиционным деревянным платформам.	Pontoon floating platforms are quick to assemble, resistant to weathering, maintenance-free and a good value and safe alternative to traditional wooden platforms.
Ваши запросы относительно функциональности, грузоподъемности и безопасности понтонных плавучих доков (пирсов, платформ) rent a float не имеют границ также и в сфере водного спорта.	The sky's also the limit for your functionality, load-bearing and safety requirements of the rent a float pontoon floating jetties and floating platforms in the water sports area.
Свяжитесь с нами, мы с удовольствием подробно проконсультируем Вас о наших понтонных пирсах (площадках) и платформах для водного спорта!	Contact us, we are happy to be consulted in all matters relating to our pontoon floating platforms and floating catwalks!
Зачастую выбор места становится вопросом для события паблик вьюинга, поскольку во внутренних частях города или общественных рыночных площадях очень редко можно найти необходимое помещение для крупной установки паблик вьюинга и также еще соответствующее место для публики.	Often, the public viewing experience is simply a question of the location concerned, because town centres and community market squares only seldom provide the space required for a large public viewing system and also the respective space for the public.
Привлекательная альтернатива - это размещение арены паблик вьюинга на водоеме.	The relocation of the public viewing area to water is an attractive alternative.
Многие города уже достаточно успешно реализовали это с плавучими платформами для паблик вьюинга rent a float и, таким образом, могут предложить их жителям, а также людям из окрестных городов совершенно особое проведение свободного времени для всей семьи.	Several towns and municipalities have already practised this successfully using rent a float public viewing floating platforms and are therefore able to offer their inhabitants and those in close-by towns and municipalities a very special leisure time highlight for the entire family.
Свяжитесь с нами, мы с удовольствием проконсультируем Вас о наших плавучих понтонных платформах для паблик вьюинга!	Contact us, we would be happy to assist you with any questions you have related to our public viewing pontoon floating platforms!
]]> http://about.imtranslator.net/google-translate-for-opera-new/feed/ 0 ImTranslator v. 9.6 extension for Opera http://about.imtranslator.net/imtranslator-extension-for-opera-new/ http://about.imtranslator.net/imtranslator-extension-for-opera-new/#comments Wed, 15 Jun 2016 20:56:31 +0000 http://about.imtranslator.net/?p=13425 ImTranslator v. 9.6 extension for Opera. What’s n […]	]]> http://about.imtranslator.net/video-imtranslator-extension-for-chrome/feed/ 0 Video: ImTranslator Translation http://about.imtranslator.net/video-imtranslator-translation/ http://about.imtranslator.net/video-imtranslator-translation/#comments Sun, 01 Feb 2015 08:03:02 +0000 http://about.imtranslator.net/?p=4858 ImTranslator Translation tutorial explains how to use f […]
Improved the translation history module.	• First, enter text for translation.
Keyboard is synchronized with the dictionary	Keyboard is synchronized with the dictionary
Translate to Russian	Translate to Russian
All dictionaries	All dictionaries
Translation	Translation
Moretranslations	Moretranslations
Automotive	Automotive
Biology	Biology
Business	Business
Economics	Economics
Geophysics	Geophysics
Mechanical	Mechanical
Networking	Networking
õ	õ
Õ	Õ
ú	ú
ü	ü
Ü	Ü
æ	æ
¿	¿
µ	µ
Æ	Æ
§	§
«	«
»	»
©	©
¹	¹
º	º
·	·
How to Translate	How to Translate
See also: Be , de , e , eh , h , ha , he , hem , hen , her , hew , hey , hi , hie , Ho , hoe , hs , hue , ME , re , se , she , the , VE , we , ye	See also: aid , bid , dad , d-d , did , dido , die , died , dig , dim , din , dip , dud , fid , hide , kid , lid , mid , rid
do v [d]	do v [d]
it doesn't do to complain	it doesn't do to complain
it'll only do you good	it'll only do you good
I like my meat very well done	I like my meat very well done
the potatoes will be done in 10 minutes	the potatoes will be done in 10 minutes
that's done it	that's done it
I have done with my work	I have done with my work
let us have done with it	let us have done with it
flowers will not do in this soil	flowers will not do in this soil
how do you do?	how do you do?
здравствуйте!	здравствуйте!
I think you've been done	I think you've been done
I do not speak French	I do not speak French
я не говорю по-французски	я не говорю по-французски
Do you speak French?	Do you speak French?
He did not see me	He did not see me
Did you not see me?	Did you not see me?
do come	do come
I did say so and I do say so now	I did say so and I do say so now
he works as much as you do	he works as much as you do
he likes bathing and so do I	he likes bathing and so do I
well do I remember it	well do I remember it
the score was 1 to 3	1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10	1 2
English dictionaries	English dictionaries
Phrases with in found in the following dictionaries: English-Russian Computer	Phrases with axiomatic found in the following dictionaries:
Word in has been found in the following dictionaries:	Word axiomatic has been found in the following dictionaries:
English-Italian	English-Italian
English-French	English-French
English-Portuguese	English-Portuguese
Translation of words included in the phrase	Translation of words included in the phrase
social change	social change
for a change	for a change
no change for Oxford	no change for Oxford
времена меняются;	времена меняются;
it is a matter of a few hours : English Russian Common Words Pro ImTranslator Dictionary	no : English Russian Common Words Pro : Phrase exact matches in ImTranslator Dictionary (page 1)
it is no laughing matter	it is no laughing matter
a matter of course	English
I am so sorry	so sorry
мне так жаль See also: A , b , c , d , e , F , g , GI , h , hi , i , if , in , is , it , j , K , l , m , mi , n , o , P , pi , Q , r , s , si , t , u , v , x , Y , Z	See also: bo , do , go , Ho , lo , mo , no , o , os , s , S' , se , si , SO , sob , sod , sol , son , sop , SOS , sot , sou , sow , soy , S's , ss , st , to , wo
abase oneself so far as to do something	abase oneself so far as to do something
a day or so	a day or so
all the more so	all the more so
and so forth	and so forth
and so on	and so on
be so good as to come	be so good as to come
be so kind as to shut the door	be so kind as to shut the door
be the weather ever so bad I must go	be the weather ever so bad I must go
come, be not so hasty!	come, be not so hasty!
